UTIL. GPU,FRÉQ. PROC. GPU,FRÉQ. MÉM. GPU,TEMP. GPU,CONSOM. GPU,UTIL. VRAM GPU,UTIL. CPU,UTIL. RAM
0,400,400,38,1,28,9.82,7.55
8,400,400,37,2,28,4.54,7.56
6,400,400,38,1,42,16.08,7.58
